participant_id	group	run	n_volumes	defined_fd_frames	mean_fd_mm	proportion_fd_gt_0_5	mean_std_dvars_diagnostic	mask_voxels	C0_columns	C0_rank	C0_gain_demean_estimable	C0_gain_demean_projection_error	C0_loss_demean_estimable	C0_loss_demean_projection_error	C1_columns	C1_rank	C1_gain_demean_estimable	C1_gain_demean_projection_error	C1_loss_demean_estimable	C1_loss_demean_projection_error	C2_columns	C2_rank	C2_gain_demean_estimable	C2_gain_demean_projection_error	C2_loss_demean_estimable	C2_loss_demean_projection_error
sub-064	equalRange	2	453	452	0.08603489625327433	0.0	1.0395835199115044	260580	17	17	True	6.694165134674997e-16	True	5.895721984359344e-16	35	35	True	8.56176522502688e-16	True	1.374753405137208e-15	41	41	True	5.233935415786904e-16	True	3.663899690017779e-16
sub-064	equalRange	3	453	452	0.0768112154336283	0.0	1.042966289823009	259677	17	17	True	9.086118981024955e-16	True	1.1758824388086396e-15	35	35	True	5.523449231126058e-16	True	5.800078772328244e-16	41	41	True	5.613640357802941e-16	True	9.628715247765129e-16
sub-064	equalRange	4	453	452	0.097374829644469	0.0	1.0392251769911505	258990	17	17	True	9.738688695331371e-16	True	1.1731262101344857e-15	35	35	True	8.302166700830567e-16	True	6.777951700704791e-16	41	41	True	6.176498178510312e-16	True	6.913866779664228e-16
sub-066	equalRange	1	453	452	0.07833540829300223	0.0	0.9926261482300884	249213	18	18	True	1.0307406361843957e-15	True	2.0925035731495443e-15	36	36	True	1.1158450745512128e-15	True	7.78886900775296e-16	42	42	True	4.006127077307475e-16	True	5.302006497369539e-16
sub-066	equalRange	2	453	452	0.0750674943738994	0.0	1.0089390044247788	248881	17	17	True	7.821376904247324e-16	True	6.928680825299999e-16	35	35	True	9.29081241319317e-16	True	6.134370779545827e-16	41	41	True	7.012221910568321e-16	True	6.892050552996259e-16
sub-066	equalRange	3	453	452	0.0730926867230049	0.0	1.0081862522123894	256653	17	17	True	3.019828015581434e-16	True	8.064067621262386e-16	35	35	True	6.41586279503894e-16	True	1.175938225069417e-15	41	41	True	8.402954781162396e-16	True	1.3305423078794181e-15
sub-066	equalRange	4	453	452	0.07309461046853051	0.0	1.0224656349557522	249031	17	17	True	7.067389249552101e-16	True	1.1833281148498989e-15	35	35	True	5.863716916662236e-16	True	3.631997695358466e-16	41	41	True	1.0441509922755823e-15	True	1.2843719274149952e-15
sub-067	equalIndifference	1	453	452	0.10186379659292032	0.0	1.0252998982300885	252619	17	17	True	9.663966289185404e-16	True	3.7246358755088507e-16	35	35	True	6.293078310370215e-16	True	7.528895282867658e-16	41	41	True	5.37009021080241e-16	True	7.034925467218e-16
sub-067	equalIndifference	2	453	452	0.103544769454039	0.004424778761061947	1.005840296460177	252382	17	17	True	8.430107777693231e-16	True	4.93281964645915e-16	35	35	True	4.735531130312352e-16	True	3.0205201140252515e-16	41	41	True	1.1101896133365468e-15	True	7.780105195504501e-16
sub-067	equalIndifference	3	453	452	0.11113522985081102	0.00663716814159292	1.0107564026548672	258042	18	18	True	8.268346921660338e-16	True	3.3059555441019355e-16	36	36	True	1.5890227979154077e-15	True	2.1814510685675278e-15	42	42	True	6.789554651039704e-16	True	6.884589892381346e-16
sub-067	equalIndifference	4	453	452	0.09568319153439396	0.004424778761061947	1.038769174778761	254324	18	18	True	2.2787343350823417e-16	True	3.893207797942446e-16	36	36	True	4.610651351798144e-16	True	1.880994489119764e-15	42	42	True	2.2777349333480137e-16	True	1.082472749212681e-15
sub-068	equalRange	1	453	452	0.11102271072265911	0.00663716814159292	1.035638121681416	260185	17	17	True	4.374460764553374e-16	True	6.863313232497546e-16	35	35	True	1.3118640769588945e-15	True	9.744966186806266e-16	41	41	True	1.714481531779947e-15	True	1.4646897437310052e-15
sub-068	equalRange	2	453	452	0.20159214004203538	0.061946902654867256	1.033150389380531	258336	17	17	True	1.3241983981578804e-15	True	5.007617513675842e-16	35	35	True	5.147053822047424e-16	True	4.909828149948759e-16	41	41	True	6.383734119719968e-16	True	1.4380552833392841e-15
sub-068	equalRange	3	453	452	0.1089753453030973	0.0022123893805309734	1.0557578163716814	252623	17	17	True	8.509973013128768e-16	True	5.856679128656604e-16	35	35	True	7.463206604237791e-16	True	7.03810949936693e-16	41	41	True	7.498302220446646e-16	True	8.182877685918082e-16
sub-068	equalRange	4	453	452	0.08530844519834334	0.0	1.0597046880530974	251563	17	17	True	4.893052460653765e-16	True	2.362908089296381e-16	35	35	True	9.18570185086983e-16	True	7.145988076187216e-16	41	41	True	4.203569234014199e-16	True	4.843854030229377e-16
sub-069	equalIndifference	1	453	452	0.13847933078838523	0.0	1.034181803097345	250399	18	18	True	5.654422462596944e-16	True	7.124214923656895e-16	36	36	True	8.981124207304143e-16	True	1.129037598845447e-15	42	42	True	1.3932041458118091e-16	True	6.20347266576078e-16
sub-069	equalIndifference	2	453	452	0.10616376899522763	0.0	1.0358075	249829	17	17	True	1.1433023837619534e-15	True	9.405972751726669e-16	35	35	True	7.64404923999422e-16	True	9.360109367535796e-16	41	41	True	5.659975979138474e-16	True	5.433587065769348e-16
sub-069	equalIndifference	3	453	452	0.12127051705218078	0.0	1.0294015907079648	251523	18	18	True	4.514789788614088e-16	True	4.680006594594796e-16	36	36	True	2.491662438879567e-16	True	1.1271621670995645e-15	42	42	True	2.423787447783979e-16	True	2.0058331884607402e-15
sub-069	equalIndifference	4	453	452	0.10447089518283309	0.0	1.0180638119469028	247286	17	17	True	5.875894658196341e-16	True	1.0161717344053109e-15	35	35	True	5.59770987951281e-16	True	9.314382401188645e-16	41	41	True	1.5226824710427432e-15	True	9.51765031320674e-16
sub-070	equalRange	1	453	452	0.05922028783062956	0.004424778761061947	1.0144473451327434	252689	17	17	True	9.741069509505763e-16	True	6.987572401417166e-16	35	35	True	7.273576955348593e-16	True	8.522400242903367e-16	41	41	True	1.0730979277873045e-15	True	7.147457719177746e-16
sub-070	equalRange	2	453	452	0.06751212914273437	0.0	1.0043628938053097	262361	18	18	True	4.767921836418248e-16	True	3.744033130774621e-16	36	36	True	6.924308896031678e-16	True	1.6265151213798009e-15	42	42	True	1.5736987153298925e-15	True	9.753759872235482e-16
sub-070	equalRange	3	453	452	0.0579536211997549	0.0	1.0212185309734514	252430	18	18	True	6.57080784215418e-16	True	3.90122329973308e-16	36	34	True	8.664418882890987e-16	True	2.0977991908823374e-15	42	40	True	5.128227412386896e-16	True	3.8574823467843784e-16
