record_type	contrast	confound	qc	smoothing	n_subjects	df	fdr_rejected_voxels	fdr_rejected_proportion	fdr_positive_voxels	fdr_negative_voxels	fdr_any_rejection	cell_a	cell_b	differing_axes	n_differing_axes	pearson_r	pearson_r_ci_lower	pearson_r_ci_upper	cosine_similarity	cosine_similarity_ci_lower	cosine_similarity_ci_upper	normalized_rms_difference	normalized_rms_difference_ci_lower	normalized_rms_difference_ci_upper	sign_agreement	fdr_jaccard	bootstrap_replicates	bootstrap_seed	notes
pairwise_cell_stability	gain_demean											C0/Q1/S0	C0/Q0/S1	Q:S	2.0	0.5950559059241785	0.5071352064060718	0.5946764166406288	0.5945231707049649	0.5055348005162047	0.5989157797966983	0.8243804109541822	0.7816000374355869	0.874167023498559	0.7172615278858155	0.0024101665205959683	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C0/Q1/S1	S	1.0	0.605423007667522	0.5631366859996026	0.5993609992944658	0.6065244946513794	0.5631976052010097	0.6029899069350888	0.818084353304445	0.76087585551188	0.8695772824824455	0.7219558964525408	0.0022348638764729785	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C0/Q2/S1	Q:S	2.0	0.5936110999918165	0.5107526032741312	0.5950816973990537	0.5917767760040741	0.5045964975142359	0.5981522882293101	0.822820262648513	0.7622849979477947	0.8875314991843193	0.7152535320827077	0.0017802233371095647	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C0/Q0/S2	Q:S	2.0	0.439906838599813	0.3424803166667142	0.4275754753158945	0.44080160360555154	0.33899021155060355	0.4362476545429094	0.9028362389746041	0.843635223321614	0.9524133503147599	0.6555563595578792	0.0010496850944716584	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C0/Q1/S2	S	1.0	0.4461719387349294	0.36513596192592884	0.4294336575628394	0.4489303799985837	0.3663943639165848	0.4397839194786833	0.899939998879318	0.8349812012388312	0.95054195435753	0.6586542810108721	0.0010618273082677735	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C0/Q2/S2	Q:S	2.0	0.4392494843315483	0.34420778624394455	0.425715444425387	0.43942468338564994	0.33969147964960134	0.4362861012524561	0.9020395116914601	0.835360487670945	0.955574787286658	0.6564699071980318	0.0008463165993460281	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C1/Q0/S0	C:Q	2.0	0.9228676538040472	0.8041996985140661	0.9549431021102366	0.9231486442143028	0.802804851737759	0.9548229958922736	0.3923726772958018	0.30294823443062774	0.6069559124741652	0.8815960853126865	0.4	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C1/Q1/S0	C	1.0	0.9524907101964103	0.9339801409417025	0.9591593607604725	0.9520545843842732	0.9330644282019518	0.9590186783194493	0.30941455750732844	0.27781570882352313	0.3671093320505949	0.9073789323251145	0.38461538461538464	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C1/Q2/S0	C:Q	2.0	0.9278670107468858	0.8284265750419936	0.9555643652559754	0.9278533521314678	0.8270873692621867	0.9554745961161091	0.383488740036886	0.29830816498790613	0.5831161384693596	0.8835181533674632	0.41379310344827586	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C1/Q0/S1	C:Q:S	3.0	0.5823483200551204	0.49662447916283714	0.5808898241325654	0.5836979127397584	0.4944490782648674	0.5875632755215102	0.8295193468379755	0.784748160573865	0.8819188617554649	0.7133585991063515	0.0024625027982986343	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
pairwise_cell_stability	gain_demean											C0/Q1/S0	C1/Q1/S1	C:S	2.0	0.5916777354870649	0.5433586679063761	0.5849895196784005	0.5932741214827946	0.5431713781002271	0.5918991153444507	0.824704731549871	0.768191969743188	0.8771558452526813	0.7175193111308091	0.0022423810009173377	2000.0	20260815.0	sign agreement and FDR Jaccard are descriptive
